timestamp,frame,marker_id,z_pnp,z_rs,error,width_px,height_px,rvec_x,rvec_y,rvec_z
1769450169.1142132,81,45,0.2923935145202193,0.43400001525878906,0.14160650073856978,7,6,-2.1284342579466315,2.0349969730698376,-0.40293052551036806
1769450169.1468008,82,45,0.29096240003978935,0.4320000112056732,0.14103761116588387,5,6,-2.1357164781335585,2.0721308106425598,-0.3397509881995986
1769450169.178882,83,45,0.28960587083713246,0.4300000071525574,0.1403941363154249,5,6,2.3025337134235846,-2.25664184753474,0.4354016281721141
1769450169.209953,84,45,0.2869802465630401,0.4280000329017639,0.1410197863387238,6,5,-2.155077758023023,2.0935480584203736,-0.4042014932719579
1769450169.243207,85,45,0.28404968051295426,0.4230000078678131,0.13895032735485885,7,3,-2.170467860330363,2.059677739254173,-0.3397153395525848
1769450169.2687864,86,45,0.2835465327181038,0.42100003361701965,0.13745350089891584,8,1,-2.1692321463748057,2.0159361015584487,-0.24335967445556467
1769450169.3142707,87,45,0.284057852727144,0.42000001668930054,0.13594216396215653,7,2,-2.153146467072551,2.0121259910175002,-0.19014599972654608
1769450169.3463397,88,45,0.28201362358617715,0.41700002551078796,0.1349864019246108,6,2,-2.1402268619395444,2.0157403184966243,-0.12909411158669862
1769450169.3816664,89,45,0.2820439678512521,0.41700002551078796,0.1349560576595359,5,2,-2.152277654201559,2.047619316573509,-0.14008092362104088
1769450169.4136689,90,45,0.2810805229709212,0.41700002551078796,0.1359195025398668,5,3,-2.132705121437862,2.0396728367170813,-0.14824742660112075
1769450169.447815,91,45,0.2812629345603894,0.41600000858306885,0.13473707402267943,3,6,-2.0928515278698754,2.0328785078768905,-0.13623293372776418
1769450169.4806182,92,45,0.2810623229115491,0.41600000858306885,0.13493768567151976,3,5,-2.0989226872270126,2.0464762374672194,-0.15981648362196038
1769450169.515861,93,45,0.28135154127662004,0.4150000214576721,0.13364848018105208,2,5,-2.111190956441148,2.0743819649627753,-0.16451141400440622
1769450169.5467713,94,45,0.2806050728583979,0.41200003027915955,0.13139495742076163,2,5,-2.1098951070235996,2.0786970160118607,-0.21180960775580024
1769450169.5797772,95,45,0.27889384995972455,0.40800002217292786,0.1291061722132033,1,5,-2.079893320575591,2.059527444476492,-0.0841562494115925
1769450169.6125998,96,45,0.27822431983380985,0.40700000524520874,0.1287756854113989,1,5,-2.079277717887995,2.0658490778097556,-0.11600970889794945
1769450169.648135,97,45,0.278005943847983,0.40400001406669617,0.12599407021871317,2,4,-2.24355397654362,2.2711519825860482,-0.4220793093831012
1769450169.6846037,98,45,0.2774221097994842,0.4010000228881836,0.12357791308869942,2,3,-2.261003367135875,2.2878652297700044,-0.40757375581791283
1769450169.7162623,99,45,0.27673139729691126,0.4000000059604645,0.12326860866355321,3,0,-2.108410887040204,2.0445920953075696,-0.015730359115126914
1769450169.7483008,100,45,0.27459756657810913,0.39900001883506775,0.12440245225695862,5,3,-2.1187538007437285,2.0082951231735695,0.0635207193162698
1769450169.778831,101,45,0.2733298654405865,0.39900001883506775,0.12567015339448123,8,5,-2.1561457478253443,2.002588537638137,-0.06733846014258599
1769450169.812097,102,45,0.2727349431488875,0.3970000147819519,0.12426507163306438,10,9,-2.2462756102463284,2.053973141388915,-0.1972416900420184
1769450169.8472004,103,45,0.27056082825329475,0.3930000066757202,0.12243917842242547,11,10,-2.2838611102366344,2.0797446647992657,-0.23799171030402388
1769450169.8785481,104,45,0.2690083857877917,0.39000001549720764,0.12099162970941596,10,11,-2.2713769833183104,2.0989593986887054,-0.3524794253845403
1769450169.9147809,105,45,0.2658261572108075,0.3880000114440918,0.1221738542332843,6,10,-2.228850639316624,2.1204001226767746,-0.41208127588410326
1769450169.9453757,106,45,0.2645104032700238,0.38700002431869507,0.12248962104867128,0,6,-2.1410481684612566,2.13562257127704,-0.40062439048654247
1769450169.9796407,107,45,0.26369107397377056,0.3880000114440918,0.12430893747032123,4,2,-2.1111661547618255,2.188277692971728,-0.3698292356599552
1769450170.0126793,108,45,0.26172117669493244,0.38100001215934753,0.11927883546441509,7,1,-2.087048933278446,2.245083578067732,-0.3775425995042234
1769450170.5139213,123,45,0.23614437727848786,0.35200002789497375,0.1158556506164859,1,6,2.0509632205542645,-2.174397638530386,0.1978295619890964
1769450170.5509024,124,45,0.23601211161245017,0.35200002789497375,0.11598791628252358,4,4,2.0497896534188382,-2.1395682301663292,0.2148231240648444
1769450170.5782554,125,45,0.23609572353608502,0.35500001907348633,0.11890429553740131,4,4,2.042175956869256,-2.145333911857276,0.2828147815049674
1769450170.6136117,126,45,0.23541184621615496,0.3540000021457672,0.11858815592961225,3,3,2.045499115559595,-2.1739099684525995,0.33331880152986154
1769450171.3131614,147,45,0.22547955894274735,0.33900001645088196,0.11352045750813461,19,10,2.0502887364591964,-2.3834311827801598,0.36984048909019124
1769450171.346444,148,45,0.2252256121842769,0.3400000035762787,0.1147743913920018,12,5,2.0494869907682594,-2.264407379458396,0.347556576121847
1769450171.379662,149,45,0.229477414371791,0.3440000116825104,0.11452259731071937,8,4,2.0759993344795786,-2.2367433994308294,0.2960941682907629
1769450171.413195,150,45,0.23310887748344034,0.3450000286102295,0.11189115112678916,6,3,2.105348138908559,-2.213959870581862,0.25731163967878484
1769450171.4442234,151,45,0.23398142740040132,0.3490000069141388,0.11501857951373748,4,3,2.0883651629708426,-2.166399099483111,0.26055374486823524
1769450171.475682,152,45,0.23711167863771307,0.35100001096725464,0.11388833232954157,6,6,2.082122581996252,-2.1964938204718534,0.24975747661068642
